Gender_Female,Gender_Male,Subscription Type_Basic,Subscription Type_Premium,Subscription Type_Standard,Contract Length_Annual,Contract Length_Monthly,Contract Length_Quarterly,Age,Tenure,Usage Frequency,Total Spend
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.5789473684210527,-0.4,0.7857142857142857,-0.1842714607709645
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.9473684210526315,-0.23333333333333334,-0.42857142857142855,-1.0602263198787625
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,-1.0714285714285714,0.6332187117767878
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.105263157894737,-0.6666666666666666,0.7857142857142857,-0.9261883332179424
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.8947368421052632,-0.43333333333333335,-0.35714285714285715,-1.089274037832806
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.05263157894736842,0.3,-0.2857142857142857,-0.8656004554091372
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.8421052631578947,-1.0,-0.5714285714285714,0.49413429953920596
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.21052631578947367,-0.43333333333333335,-0.2857142857142857,0.3231097059072411
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.47368421052631576,0.8333333333333334,-0.8571428571428571,0.20618033278715
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.21052631578947367,0.16666666666666666,0.7857142857142857,0.6215873162401051
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.36666666666666664,-0.5,0.761010208241982
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.3684210526315789,-0.43333333333333335,0.21428571428571427,0.7637488172440055
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.6842105263157895,0.6333333333333333,0.42857142857142855,-0.48201056979991214
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.21052631578947367,-0.4666666666666667,1.0,0.7844576246413265
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.15789473684210525,0.36666666666666664,0.07142857142857142,-0.020693421953489867
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.368421052631579,0.8,-0.5714285714285714,0.7385166893601961
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.47368421052631576,0.8666666666666667,-1.0714285714285714,0.4031755556068402
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.10526315789473684,-0.3333333333333333,0.7857142857142857,0.007308085820005691
